City,Temperature,Humidity,Cloudiness,Wind Speed,Country,Date,Longitude,Latitude
pangnirtung,-33.0,68,20,0.0,CA,1643669653,-65.7125,66.1451
goderich,-3.92,63,27,3.09,CA,1643669653,-81.7165,43.7501
pahrump,14.2,15,100,0.89,US,1643669545,-115.9839,36.2083
mezen,-12.9,96,100,2.03,RU,1643669655,44.24,65.8522
nemuro,-5.51,71,30,9.22,JP,1643669656,145.575,43.3236
vanimo,25.65,77,100,2.33,PG,1643669657,141.3028,-2.6741
uvarovo,-0.85,91,100,7.55,RU,1643669657,42.2615,51.9849
nagato,3.27,66,85,8.27,JP,1643669659,131.2,34.3833
mangochi,21.31,93,2,1.86,MW,1643669659,35.2645,-14.4782
tezu,11.93,90,100,1.33,IN,1643669660,96.1667,27.9167
cauquenes,25.28,28,0,3.98,CL,1643669661,-72.3225,-35.9671
bridgeton,-2.01,65,89,3.1,US,1643669662,-75.2341,39.4273
dingle,24.31,91,100,3.43,PH,1643669662,122.6711,10.9995
taoudenni,20.75,8,70,6.05,ML,1643669663,-3.9836,22.6783
kurilsk,-5.16,85,100,9.29,RU,1643669664,147.8833,45.2333
denpasar,26.51,83,40,2.57,ID,1643669587,115.2167,-8.65
torbay,0.11,74,75,6.17,CA,1643669665,-52.7314,47.6666
tuatapere,23.23,54,69,0.18,NZ,1643669666,167.6833,-46.1333
rio viejo,29.92,49,59,2.93,CO,1643669667,-73.839,8.5874
olafsvik,-2.53,87,86,12.34,IS,1643669668,-23.7142,64.8945
atar,26.72,13,100,4.14,MR,1643669668,-13.0499,20.5169
airai,17.56,81,82,2.15,TL,1643669669,125.4092,-8.9266
salalah,19.44,66,2,1.56,OM,1643669670,54.0924,17.0151
kalaleh,8.37,44,73,4.44,IR,1643669671,55.4916,37.3807
bilma,13.46,19,0,2.53,NE,1643669672,12.9164,18.6853
palmer,-5.97,53,20,1.54,US,1643669673,-72.3287,42.1584
ambanja,23.86,92,65,1.53,MG,1643669674,48.45,-13.6833
isangel,27.06,94,100,3.09,VU,1643669675,169.2667,-19.55
walvis bay,21.72,82,86,3.19,NA,1643669675,14.5053,-22.9575
ketchikan,3.26,87,100,0.0,US,1643669676,-131.6461,55.3422
nago,12.65,65,58,2.96,JP,1643669531,127.9761,26.5881
chivay,8.73,74,96,4.2,PE,1643669677,-71.6011,-15.6383
arpasu de jos,-2.01,83,100,0.35,RO,1643669678,24.6167,45.7833
tromso,-3.06,93,100,6.69,NO,1643669635,18.957,69.6496
hirara,17.15,67,75,4.63,JP,1643669679,125.2833,24.8
clarence town,25.79,64,14,1.59,AU,1643669680,151.7833,-32.5833
luderitz,18.8,86,8,2.19,NA,1643669681,15.1594,-26.6481
port hardy,5.1,81,75,4.12,CA,1643669682,-127.4199,50.6996
nishihara,15.6,67,75,4.12,JP,1643669682,127.7558,26.1842
ust-omchug,-24.65,99,92,3.11,RU,1643669684,149.6333,61.15
varna,-0.4,83,0,1.03,BG,1643669684,27.9167,43.2167
fukue,9.66,56,89,7.67,JP,1643669686,128.8419,32.6881
shakawe,18.14,95,71,2.02,BW,1643669686,21.85,-18.3667
tongliao,-20.12,86,19,3.54,CN,1643669398,122.2653,43.6125
shimoda,6.17,68,35,4.17,JP,1643669688,138.95,34.6667
sabha,9.76,45,0,3.59,LY,1643669606,14.4283,27.0377
zhuzhou,4.07,98,100,1.17,CN,1643669663,113.15,27.8333
san quintin,17.55,56,78,5.76,MX,1643669690,-115.95,30.4833
ban nahin,14.56,87,22,1.95,LA,1643669691,104.2122,18.2418
aleksandrovsk-sakhalinskiy,-13.68,96,100,4.44,RU,1643669692,142.1561,50.8975
port augusta,22.06,73,100,8.92,AU,1643669693,137.7667,-32.5
tougue,22.62,15,62,1.08,GN,1643669693,-11.6,11.4667
nacala,23.07,92,5,2.33,MZ,1643669694,40.6728,-14.5428
nakkila,-13.06,85,0,1.54,FI,1643669695,22.0,61.3667
deputatskiy,-32.51,100,58,1.51,RU,1643669695,139.9,69.3
menongue,18.2,57,100,1.53,AO,1643669696,17.691,-14.6585
savonlinna,-6.97,86,100,4.12,FI,1643669697,28.88,61.8699
morondava,25.77,78,0,1.35,MG,1643669698,44.2833,-20.2833
santa isabel do rio negro,26.92,71,100,1.4,BR,1643669698,-65.0192,-0.4139
klaksvik,8.51,87,100,15.61,FO,1643669699,-6.589,62.2266
ojinaga,20.55,26,0,2.57,MX,1643669699,-104.4167,29.5667
tecoanapa,27.97,60,0,5.39,MX,1643669700,-98.75,16.5167
nome,-8.96,45,0,5.14,US,1643669575,-165.4064,64.5011
lagoa,14.83,78,27,10.72,PT,1643669702,-27.9833,39.05
kaitangata,21.63,73,59,2.08,NZ,1643669702,169.8464,-46.2817
covington,2.68,62,65,0.8,US,1643669567,-84.5086,39.0837
trat,28.88,93,30,0.64,TH,1643669704,102.5,12.5
buala,28.77,71,97,1.83,SB,1643669704,159.5921,-8.145
baykit,-19.62,100,100,0.34,RU,1643669705,96.37,61.67
broken hill,22.84,78,40,1.54,AU,1643669706,141.4333,-31.95
lata,4.72,64,0,1.97,PT,1643669707,-8.3327,40.1629
belyy yar,-30.08,81,64,0.0,RU,1643669707,91.3903,53.6039
magan,9.55,61,5,3.66,ES,1643669708,-3.931,39.9683
chumikan,-20.91,87,76,6.35,RU,1643669709,135.315,54.7183
zhezkazgan,-17.76,98,88,2.48,KZ,1643669710,67.7144,47.8043
parsabad,5.94,48,29,4.37,IR,1643669711,47.9174,39.6482
yumen,-9.59,30,97,2.53,CN,1643669711,97.2,40.2833
akdepe,-2.95,77,7,4.49,TM,1643669712,59.3788,42.0551
emerald,28.08,65,59,4.63,AU,1643669684,148.1667,-23.5333
mirabad,11.74,33,0,2.24,AF,1643669714,61.8383,30.4362
skibbereen,8.89,84,78,9.27,IE,1643669715,-9.2667,51.55
macusani,3.79,90,98,0.84,PE,1643669715,-70.4333,-14.0833
opuwo,18.88,58,100,4.43,NA,1643669716,13.84,-18.0607
setermoen,-15.02,72,93,3.65,NO,1643669717,18.3486,68.861
xingyi,4.44,95,99,1.75,CN,1643669718,102.817,24.1877
tahe,-20.36,89,100,2.3,CN,1643669718,124.7333,52.3333
oil city,-3.7,50,0,3.6,US,1643669719,-79.7064,41.4339
yaan,24.47,16,34,2.59,NG,1643669721,8.5667,7.3833
cockburn town,23.26,71,99,10.19,TC,1643669721,-71.1419,21.4612
grand-santi,22.47,99,100,1.31,GF,1643669722,-54.3833,4.25
ola,-17.09,82,82,5.48,RU,1643669723,151.2833,59.5833
kamaishi,-6.47,54,4,1.48,JP,1643669723,141.8833,39.2667
necochea,18.35,49,71,1.5,AR,1643669526,-58.7368,-38.5473
impfondo,22.66,26,86,0.51,CG,1643669725,18.0667,1.6381
nekhayevskiy,0.85,85,100,8.04,RU,1643669725,41.7561,50.4106
grand gaube,26.88,69,44,4.02,MU,1643669601,57.6608,-20.0064
three hills,-13.06,56,98,11.83,CA,1643669727,-113.2686,51.7001
gat,10.16,100,59,4.18,IL,1643669522,34.7642,31.61
kedrovyy,-25.63,95,7,1.51,RU,1643669728,91.8167,56.1667
maceio,26.69,83,0,2.57,BR,1643669729,-35.7353,-9.6658
acarau,26.77,81,36,7.03,BR,1643669582,-40.12,-2.8856
ixtapa,24.57,78,0,3.13,MX,1643669730,-105.2,20.7
latehar,11.29,49,1,0.97,IN,1643669731,84.5,23.75
jales,21.85,89,100,2.3,BR,1643669732,-50.5458,-20.2689
nsanje,22.12,97,4,1.14,MW,1643669732,35.262,-16.92
miyako,-3.31,52,2,2.09,JP,1643669733,141.9525,39.6367
hauterive,3.33,92,79,3.0,FR,1643669734,3.4459,46.0901
calvinia,23.36,62,54,2.75,ZA,1643669734,19.776,-31.4707
tazovskiy,-16.64,97,100,2.42,RU,1643669735,78.7,67.4667
westport,-4.19,55,0,0.0,US,1643669508,-73.3579,41.1415
show low,12.46,24,0,3.09,US,1643669589,-110.0298,34.2542
olden,-1.49,96,100,2.55,NO,1643669737,6.8064,61.8364
kroya,24.0,89,100,0.85,ID,1643669738,109.2461,-7.6331
iberia,18.72,67,45,5.47,US,1643669470,-91.7507,29.9502
pacific grove,13.12,80,100,1.79,US,1643669739,-121.9166,36.6177
larsnes,-0.71,89,100,4.84,NO,1643669740,5.5773,62.2028
harlingen,25.25,55,65,4.86,US,1643669740,-97.6961,26.1906
bahia blanca,24.6,19,41,1.91,AR,1643669566,-62.2724,-38.7196
mathathane,22.45,59,3,2.36,BW,1643669742,28.7495,-22.2687
udachnyy,-37.49,100,85,1.5,RU,1643669742,112.4,66.4167
lorengau,25.5,90,100,4.82,PG,1643669743,147.2712,-2.0226
zarya,-1.3,98,100,2.18,RU,1643669744,38.0958,55.7553
poum,27.31,73,97,5.34,NC,1643669745,164.0167,-20.2333
batsfjord,-14.88,83,96,2.92,NO,1643669745,29.7185,70.6345
sangar,-38.87,100,97,0.26,RU,1643669746,127.4739,63.9242
sembakung,23.96,99,86,0.66,ID,1643669747,117.25,3.8167
petropavlovsk-kamchatskiy,-2.67,59,75,7.0,RU,1643669748,158.6483,53.0452
yamada,-3.53,52,3,1.39,JP,1643669748,141.95,39.4667
douglas,12.28,33,0,1.34,US,1643669661,-96.167,41.3
chase,3.73,73,17,1.8,CA,1643669599,-119.6857,50.8165
prince albert,-11.03,79,100,11.32,CA,1643669750,-105.7677,53.2001
pochutla,28.23,55,6,5.4,MX,1643669751,-96.4661,15.7432
gavle,-5.46,84,99,1.34,SE,1643669752,17.1417,60.6745
beringovskiy,-17.45,87,92,7.65,RU,1643669752,179.3167,63.05
minas,19.18,66,4,3.04,UY,1643669754,-55.2377,-34.3759
fereydun kenar,10.6,58,81,1.43,IR,1643669754,52.5225,36.6864
rio gallegos,12.03,54,100,14.92,AR,1643669755,-69.2181,-51.6226
meulaboh,24.63,87,32,1.06,ID,1643669756,96.1285,4.1363
broome,-7.53,71,8,0.45,US,1643669757,-75.833,42.2506
touros,27.5,72,57,5.93,BR,1643669758,-35.4608,-5.1989
chaiyo,25.0,94,11,2.91,TH,1643669759,100.4686,14.6764
gamba,25.31,86,90,2.34,GA,1643669760,10.0,-2.65
satun,24.02,96,22,1.41,TH,1643669761,100.0,6.8333
araguacu,22.64,94,100,0.93,BR,1643669761,-49.8264,-12.9306
sovetskiy,-18.23,98,99,0.94,RU,1643669762,63.5842,61.3614
uruguaiana,33.96,29,20,6.17,BR,1643669763,-57.0883,-29.7547
verkhoyansk,-34.74,100,100,0.42,RU,1643669763,133.385,67.5447
murakami,2.94,69,100,5.48,JP,1643669764,139.4833,38.2333
ust-maya,-26.32,99,100,0.67,RU,1643669765,134.5333,60.4167
moose factory,-18.01,60,0,3.6,CA,1643669766,-80.6094,51.2585
lircay,16.3,90,94,3.32,PE,1643669767,-74.7205,-12.9896
san pedro,25.4,77,20,1.54,PH,1643669768,121.0167,14.35
pemangkat,24.21,91,96,2.3,ID,1643669768,108.9667,1.1667
lerwick,5.0,97,100,9.47,GB,1643669769,-1.1494,60.1545
ust-nera,-23.11,99,100,1.45,RU,1643669770,143.2,64.5667
campbell river,5.9,61,20,3.09,CA,1643669770,-125.2446,50.0163
esperance,15.91,59,89,7.48,AU,1643669771,121.9,-33.8667
naze,9.51,64,61,2.93,JP,1643669772,129.4833,28.3667
prachuap khiri khan,19.63,96,19,1.41,TH,1643669773,99.75,12.2167
cururupu,24.65,92,99,1.56,BR,1643669774,-44.8683,-1.8283
pimenta bueno,21.56,99,100,0.62,BR,1643669774,-61.1936,-11.6725
chapais,-21.12,97,96,1.21,CA,1643669775,-74.8492,49.7834
pasighat,13.32,79,98,0.63,IN,1643669775,95.3333,28.0667
blytheville,14.96,58,96,2.65,US,1643669777,-89.919,35.9273
gushikawa,15.57,64,64,3.62,JP,1643669778,127.8686,26.3544
padang,25.03,88,62,1.42,ID,1643669778,100.3543,-0.9492
bielsk podlaski,-0.97,84,51,4.78,PL,1643669334,23.1865,52.7651
maniitsoq,-11.9,78,100,6.36,GL,1643669779,-52.9,65.4167
kalanwali,10.63,51,1,1.66,IN,1643669780,74.95,29.85
alekseyevsk,-18.38,99,100,1.27,RU,1643669781,108.3492,57.8406
ipueiras,24.55,49,33,2.65,BR,1643669782,-40.45,-7.0333
hobyo,25.3,81,58,5.94,SO,1643669783,48.5268,5.3505
steinbach,4.38,70,75,4.12,DE,1643669783,8.5667,50.1667
ishigaki,18.07,68,75,5.66,JP,1643669784,124.1572,24.3448
mitsamiouli,27.29,75,21,0.76,KM,1643669785,43.2844,-11.3847
lamar,15.93,77,100,8.23,US,1643669785,-95.5836,33.6668
camocim,26.6,82,32,6.29,BR,1643669786,-40.8411,-2.9022
provideniya,-12.94,61,40,9.0,RU,1643669787,-173.3,64.3833
brae,4.95,97,100,8.47,GB,1643669788,-1.353,60.3964
drayton valley,-16.16,85,100,4.83,CA,1643669788,-114.9854,53.2168
haicheng,-10.06,63,58,4.65,CN,1643669789,122.7475,40.8516
nhulunbuy,28.34,78,75,7.2,AU,1643669715,136.7667,-12.2333
alyangula,27.93,89,100,5.14,AU,1643669790,136.4192,-13.8483
komsomolskiy,-1.6,80,98,1.03,UZ,1643669791,71.7189,40.4272
robertsport,26.52,87,12,2.94,LR,1643669792,-11.3686,6.7533
kogon,0.02,100,0,2.06,UZ,1643669793,64.5517,39.7228
san policarpo,26.03,82,65,4.3,PH,1643669794,125.5072,12.1791
yenagoa,22.92,60,21,1.62,NG,1643669795,6.2642,4.9247
bang saphan,22.41,95,43,1.01,TH,1643669795,99.5117,11.2126
tocopilla,20.09,65,5,1.8,CL,1643669796,-70.1979,-22.092
port macquarie,28.27,69,10,0.67,AU,1643669797,152.9167,-31.4333
goba,10.07,40,91,1.92,ET,1643669798,39.9833,7.0167
la ronge,-13.86,72,100,8.75,CA,1643669799,-105.2842,55.1001
vinh long,23.99,87,65,1.94,VN,1643669799,105.9667,10.25
kondinskoye,-21.48,100,99,1.9,RU,1643669800,67.41,59.6481
camacha,15.68,88,40,9.26,PT,1643669801,-16.3333,33.0833
pangkalanbuun,23.07,91,100,0.92,ID,1643669801,111.6167,-2.6833
araouane,21.32,12,30,5.37,ML,1643669802,-3.5265,18.9048
zomin,1.53,55,7,0.88,UZ,1643669803,68.3958,39.9606
ulaangom,-32.97,92,78,1.27,MN,1643669804,92.0667,49.9811
fare,27.27,72,5,8.27,PF,1643669757,-151.0167,-16.7
lakes entrance,28.65,55,1,1.82,AU,1643669805,147.981,-37.8811
santiago del estero,31.05,30,48,0.94,AR,1643669806,-64.2615,-27.7951
nantucket,-4.86,65,68,3.32,US,1643669806,-70.0995,41.2835
friesoythe,3.6,82,100,6.25,DE,1643669807,7.85,53.0167
makakilo city,25.14,55,20,4.12,US,1643669808,-158.0858,21.3469
yulara,21.91,100,100,7.72,AU,1643669809,130.9889,-25.2406
mwinilunga,16.08,98,92,1.99,ZM,1643669674,24.4293,-11.7358
ensley,15.62,65,82,0.45,US,1643669810,-87.2728,30.5188
veinticinco de mayo,17.62,53,26,2.75,AR,1643669811,-60.1727,-35.4323
bathsheba,29.34,65,40,5.14,BB,1643669812,-59.5167,13.2167
cooma,17.87,100,75,2.57,AU,1643669813,149.1333,-36.2333
kerema,26.01,79,100,2.52,PG,1643669814,145.7785,-7.9631
quesnel,-1.72,80,100,1.03,CA,1643669815,-122.5029,52.9999
lively,-7.49,97,95,1.38,CA,1643669815,-81.1498,46.4334
severo-kurilsk,-1.75,76,100,8.95,RU,1643669816,156.125,50.6789
udankudi,24.28,83,8,3.97,IN,1643669817,78.0167,8.4333
north bend,7.91,94,100,4.12,US,1643669817,-124.2243,43.4065
sal rei,21.31,77,100,4.61,CV,1643669818,-22.9167,16.1833
saint george,14.5,18,0,1.34,US,1643669666,-113.5841,37.1041
borgarnes,3.14,94,100,4.38,IS,1643669819,-21.9206,64.5383
njinikom,17.43,27,8,1.38,CM,1643669820,10.2833,6.2333
jinxi,3.78,83,100,1.86,CN,1643669658,116.2922,30.4323
oistins,29.05,65,40,5.14,BB,1643669610,-59.5333,13.0667
inuvik,-18.57,81,75,3.6,CA,1643669822,-133.7218,68.3499
ulladulla,24.9,60,2,0.32,AU,1643669823,150.4667,-35.35
berbera,23.6,73,27,2.54,SO,1643669824,45.0143,10.4396
leon,25.64,50,1,9.6,MX,1643669824,-101.6667,21.1167
laguna,16.61,53,0,1.34,US,1643669825,-121.4238,38.421
te anau,21.51,48,87,0.91,NZ,1643669826,167.7167,-45.4167
saint-augustin,-16.68,97,82,2.45,CA,1643669827,-58.6502,51.226
clonakilty,8.56,85,72,8.76,IE,1643669828,-8.8706,51.6231
buluang,23.59,91,43,1.51,PH,1643669829,123.3425,13.3068
mahon,9.31,87,75,2.57,ES,1643669830,4.2658,39.8885
charlottesville,-0.27,69,42,0.45,US,1643669693,-78.4767,38.0293
samandag,8.19,87,77,2.73,TR,1643669831,35.9771,36.0842
vostok,-23.15,98,99,1.93,RU,1643669831,135.8833,46.4856
zihuatanejo,27.82,53,0,3.35,MX,1643669832,-101.55,17.6333
college,-23.84,73,0,0.0,US,1643669611,-147.8028,64.8569
hambantota,23.94,81,4,6.21,LK,1643669833,81.1185,6.1241
simao,6.8,93,0,1.3,CN,1643669834,100.9748,22.7886
weinan,-3.17,54,13,1.12,CN,1643669835,109.5089,34.5036
anzoategui,21.11,79,89,1.37,CO,1643669835,-75.0954,4.63
vuktyl,-21.71,100,51,1.26,RU,1643669836,57.3094,63.8567
lugazi,19.82,71,100,0.82,UG,1643669837,32.9197,0.3772
tura,13.16,60,31,1.86,IN,1643669838,90.2201,25.5198
teya,-22.13,100,87,1.56,RU,1643669838,92.6267,60.3778
hammerfest,-3.75,74,40,2.06,NO,1643669839,23.6821,70.6634
francistown,21.03,71,45,4.51,BW,1643669660,27.5079,-21.17
tadine,26.11,82,100,2.98,NC,1643669841,167.8833,-21.55
tambura,21.99,22,91,1.76,SS,1643669842,27.4667,5.6
mnogovershinnyy,-19.21,92,99,2.81,RU,1643669842,139.9242,53.9353
rocha,16.7,63,12,3.73,UY,1643669843,-54.3333,-34.4833
delitzsch,1.45,93,75,4.12,DE,1643669844,12.35,51.5333
oksfjord,-12.96,74,100,3.83,NO,1643669845,22.3479,70.2396
praya,21.3,88,0,5.66,CV,1643669845,-23.5087,14.9215
san luis,29.11,32,6,1.34,AR,1643669846,-66.3356,-33.295
qaqortoq,-5.06,84,99,6.52,GL,1643669847,-46.0333,60.7167
juneau,-4.84,88,94,1.65,US,1643669626,-134.4197,58.3019
yerbogachen,-23.79,100,97,1.0,RU,1643669848,108.0108,61.2767
tiznit,18.03,40,100,2.17,MA,1643669849,-9.5,29.5833
sola,26.61,83,100,8.7,VU,1643669850,167.55,-13.8833
jalu,12.38,64,48,3.78,LY,1643669851,21.5482,29.0331
asau,0.52,70,100,1.98,RO,1643669851,26.4,46.4333
mecca,16.28,65,22,4.08,SA,1643669852,39.8261,21.4267
eidfjord,-4.81,99,100,1.68,NO,1643669853,7.0719,60.4675
ponta delgada,15.4,72,75,3.6,PT,1643669854,-25.6667,37.7333
acari,23.62,71,100,3.42,PE,1643669854,-74.6158,-15.4311
sitka,2.07,96,96,1.14,US,1643669855,-135.33,57.0531
adrar,23.1,14,100,4.8,MR,1643669856,-10.0711,20.5022
loreto,23.3,17,92,11.21,MX,1643669857,-101.9667,22.2667
jacareacanga,23.35,97,93,0.35,BR,1643669857,-57.7528,-6.2222
sijunjung,21.35,97,78,0.63,ID,1643669858,100.9537,-0.6876
teguldet,-20.72,99,72,1.52,RU,1643669859,88.1667,57.3064
noshiro,-4.48,63,100,2.34,JP,1643669860,140.0242,40.2039
mount isa,27.87,83,95,4.63,AU,1643669860,139.5,-20.7333
miedzychod,1.01,88,50,2.44,PL,1643669861,15.897,52.5988
unai,22.24,90,97,0.88,BR,1643669863,-46.9061,-16.3575
millerovo,-0.9,89,100,6.6,RU,1643669864,40.3967,48.9226
fuling,4.59,82,36,1.48,CN,1643669864,107.3919,29.7022
arlit,13.14,20,0,2.26,NE,1643669866,7.3853,18.7369
sioux lookout,-4.96,74,100,5.14,CA,1643669632,-91.917,50.1001
rundu,18.98,94,98,3.66,NA,1643669867,19.7667,-17.9333
dourbali,18.04,14,0,6.06,TD,1643669868,15.8632,11.8091
miquelon,-1.0,61,100,9.95,PM,1643669869,-56.3814,47.0975
vermillion,9.4,37,100,7.26,US,1643669869,-96.9292,42.7794
kayunga,19.76,71,100,0.8,UG,1643669870,32.8886,0.7025
wilkie,-16.17,87,100,11.19,CA,1643669871,-108.7014,52.4168
saubara,27.98,80,0,3.85,BR,1643669871,-38.7686,-12.7375
leh,-13.68,96,100,1.46,IN,1643669872,77.5833,34.1667
mahanoro,24.12,86,78,2.57,MG,1643669873,48.8,-19.9
tagusao,25.56,85,11,2.14,PH,1643669874,117.8141,9.1924
grimshaw,-17.22,55,40,5.66,CA,1643669874,-117.6027,56.1834
verkhnevilyuysk,-34.62,100,96,1.45,RU,1643669875,120.3167,63.4453
concepcion del oro,16.26,14,0,8.17,MX,1643669876,-101.4167,24.6333
vysokogornyy,-23.98,99,86,2.02,RU,1643669877,139.15,50.1167
